id,title,category,description,houseNumber,streetName,county,town,postcode,lng,lat,contributor
1,Renewable Energy Display at University,10,Educational display about renewable energy,47,Canal Street,Greater Manchester,Didsbury,M7 3XY,-2.2498,53.4704,2
2,Green Display at Albert Square,9,Green technology demonstration,18,Princess Street,Greater Manchester,Bredbury,M24 4MN,-2.2425,53.4839,2
3,Community Solar Array at Moss Side,4,Sustainable community hub,31,Palatine Road,Greater Manchester,Lees,M24 2HJ,-2.2096,53.4909,3
4,Eco Education Center at Alexandra Park,9,Urban sustainability showcase,14,Meadow Lane,Greater Manchester,Atherton,M3 2DE,-2.2908,53.478,3
5,Wildlife Corridor at Highfield Country Park,2,Secure bike storage facility with CCTV coverage,68,Dickenson Road,Greater Manchester,High Crompton,M22 2RS,-2.2585,53.4749,1
6,Sustainable Point at Chapel Wharf,5,Clean technology showcase area,95,John Dalton Street,Greater Manchester,Heywood,M9 3RS,-2.2793,53.4747,1
7,Public Water Refill Station at Northern Quarter,6,Electric scooter docking station,14,Piccadilly,Greater Manchester,Longsight,M18 1FG,-2.3417,53.4665,1
8,Urban Farm at Ordsall Hall,8,Sustainable development center,43,Wilmslow Road,Greater Manchester,Didsbury,M1 3HD,-2.2112,53.4945,2
9,Sustainable Point at Old Trafford,2,Air pollution reduction plantation,54,Willow Way,Greater Manchester,Alkrington,M3 2DE,-2.3198,53.4555,3
10,Eco Learning Center at Clayton Hall,2,Sustainable transport information point,80,Victoria Street,Greater Manchester,Heaton Mersey,M26 3BC,-2.2609,53.4949,3
11,Urban Garden at Islington Marina,3,Rainwater harvesting system display,26,Newton Street,Greater Manchester,High Crompton,M11 3BC,-2.2558,53.4726,1
12,Urban Wildlife Garden at Peel Park,8,Clean technology education center,15,River Street,Greater Manchester,Hulme,M19 1PQ,-2.2849,53.4806,3
13,Green Market at Kampus,5,Environmental monitoring equipment,36,Cross Street,Greater Manchester,Ainsworth,M20 2ZA,-2.2044,53.4508,3
14,Sustainable Display at Corn Exchange,3,Wind turbine demonstration unit,85,Chester Road,Greater Manchester,Heaton Moor,M6 1HJ,-2.2121,53.4946,1
15,Green Technology Center at Sharp Project,9,Green energy demonstration site,23,Turner Street,Greater Manchester,Heaton Mersey,M16 2RS,-2.2312,53.4522,2
16,Urban Wildlife Garden at Peel Park,7,Bike sharing hub with multiple docking stations,80,Winter Gardens,Greater Manchester,Horwich,M23 1XY,-2.3382,53.4616,3
17,Sustainable Space at Capital Quay,4,Clean energy demonstration unit,76,Pine Road,Greater Manchester,Limeside,M7 1TU,-2.2116,53.4686,3
18,Eco Area at Parsonage Gardens,3,Electric bike charging station,20,Poplar Street,Greater Manchester,Gorton,M7 4ZA,-2.3206,53.4636,3
19,Green Building Showcase at First Street,7,Electric vehicle charging points available 24/7,13,Alexandra Road,Greater Manchester,Beswick,M2 1RS,-2.2429,53.4592,1
20,Green Hub at Exchange Court,9,Public composting demonstration site,10,Newton Street,Greater Manchester,Royton,M19 4VW,-2.2054,53.4749,1
21,Sustainable Technology at MMU,10,Electric vehicle charging points available 24/7,32,Winter Gardens,Greater Manchester,Levenshulme,M6 2KL,-2.3128,53.492,1
22,Eco Display at Greengate Square,7,Paper and cardboard recycling center,50,Green Lane,Greater Manchester,Newhey,M3 4HJ,-2.2231,53.4733,2
23,Sustainable Garden at Vimto Gardens,1,Community tool library for shared resources,78,Stanley Grove,Greater Manchester,Greenfield,M2 1RS,-2.3117,53.4813,1
24,Eco Display at Manchester Museum,8,Energy-efficient lighting showcase,10,Manor Road,Greater Manchester,Moorside,M5 2ZA,-2.2624,53.4566,3
25,Public EV Charging at Deansgate,7,Urban ecology demonstration,39,Mill Lane,Greater Manchester,Worsley,M7 3XY,-2.2161,53.4998,3
26,Recycling Bins at University Campus,2,Green infrastructure showcase,81,John Dalton Street,Greater Manchester,Withington,M8 3FG,-2.3367,53.487,1
27,Urban Tech at Granada Studios,7,Energy monitoring display showing local usage,47,Market Street,Greater Manchester,Altrincham,M15 3KL,-2.2565,53.4564,3
28,Urban Point at Cutting Room Square,3,Rain garden managing stormwater runoff,3,Quay Street,Greater Manchester,Lees,M23 3BC,-2.3406,53.4861,2
29,Eco Garden at Cathedral Gardens,10,Green infrastructure demonstration,7,Plymouth Grove,Greater Manchester,Hyde,M8 5KL,-2.3443,53.4726,1
30,Recycling Bins at University Campus,1,Environmental protection showcase,68,Talbot Road,Greater Manchester,Urmston,M1 5PQ,-2.3432,53.466,3
31,Urban Garden at Islington Marina,7,Wind energy demonstration unit,64,Summer Street,Greater Manchester,Uppermill,M8 2DE,-2.2646,53.4816,1
32,Solar-Powered Benches at Sackville Gardens,3,Smart city technology demonstration,2,Turner Street,Greater Manchester,Heaton Moor,M20 2ZA,-2.2714,53.4579,3
33,Green Building Showcase at First Street,6,Electric vehicle charging points available 24/7,54,Green Lane,Greater Manchester,Sale,M3 2DE,-2.2329,53.4593,2
34,Sustainable Food Hub at Mayfield,5,Sustainable materials demonstration area,28,Dickenson Road,Greater Manchester,Heaton Norris,M6 2KL,-2.3026,53.4867,3
35,Green Building at St Peter's Square,2,Metal recycling collection point for residents,54,Kings Road,Greater Manchester,Golborne,M17 1XY,-2.2045,53.4932,1
36,Battery Recycling Point at St Peters Square,7,Urban farming education center,43,School Lane,Greater Manchester,Heaton Norris,M26 3BC,-2.281,53.4876,3
37,Eco Hub at Sadler's Yard,2,Rain garden managing stormwater runoff,98,Hyde Road,Greater Manchester,Farnworth,M22 2RS,-2.271,53.4636,1
38,Wildlife Corridor at Highfield Country Park,4,Clean technology showcase area,78,Princess Parkway,Greater Manchester,Simister,M5 4DE,-2.3336,53.4564,1
39,Urban Hub at St Michael's Flags,2,Climate action information center,30,Princess Parkway,Greater Manchester,Delph,M23 4DE,-2.3066,53.4586,1
